DATAFLOW,LAST UPDATE,freq,unit,sex,age,icd10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,FX,2004,1832,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,FX,2005,1789,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,FX,2006,1715,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,FX,2007,1659,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,FX,2008,1743,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,FX,2009,1682,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,FX,2010,1638,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,HR,2001,374,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,HR,2002,395,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,HR,2003,378,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,HR,2004,357,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,HR,2005,350,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,HR,2006,317,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,HR,2007,332,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,HR,2008,364,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,HR,2009,340,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C16,HR,2010,339,
